Месяц,Коррупция,Взятка,Подкуп,Злоупотребление полномочиями,Непотизм,Бездействие,Конфликт интересов,Теневая экономика,Финансовые махинации,Противодействие коррупции,Транспарентность,Подотчетность,Мониторинг,Антикоррупционная политика,приговор,дело,Прозрачность финансирования,Теневые сделки,Откаты,Хищение,Родственник,расследуется,расследование,Лоббизм,Незаконное,обогащение,Контроль расходов,Проверки деятельности,подозреваемый,подоздревается,Аудит,Закупка,Электронное правительство,Похищение,Отмывание,Задержание,Рейдерство,тенге,долларов,доллары,Превышение власти,Задержали,Антикор,Агенство,Уголовный кодекс,Получение,незаконного,вознагражденияКонцепция,Преступление,средней тяжести,небольшой тяжести,Тяжкие,Особо тяжкие,Мошенничество,Легализация,миллиард,миллион,триллиард,Обогатился,Обогатились,судебный,процесс,аким,начальник,зам,заместитель,район,город,область,село,деревня,Аул,правонарушение,Антикора,Антикору,Антикором,Антикоре,Всего коррупционных преступлений
2016-12,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,3,1,1,3,0,0,0,0,0,0,0,0,3214
2017-01,41,29,0,0,0,0,0,0,0,0,0,0,1,0,1,30,0,0,0,1,1,0,14,0,0,0,0,0,0,0,1,5,0,0,1,16,0,0,0,0,0,0,0,0,0,21,0,0,4,0,0,0,0,1,0,7,13,0,0,0,7,4,9,5,0,16,13,3,14,0,0,0,2,0,0,0,0,1137
2017-02,24,16,0,0,0,0,0,0,0,0,0,0,0,0,15,55,0,0,0,19,0,0,16,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,15,0,0,10,0,0,0,0,0,3,11,40,0,0,0,2,1,3,6,0,3,3,9,14,0,0,0,3,0,0,0,0,1337
2017-03,33,26,0,0,0,0,0,0,0,0,0,0,1,0,10,73,0,0,0,24,6,0,26,0,0,0,0,0,0,0,1,3,0,0,6,8,0,0,0,0,0,0,0,0,0,17,0,0,30,0,0,0,0,0,9,12,45,0,0,0,12,4,13,2,0,18,17,12,23,1,0,0,7,0,0,0,0,1566
2017-04,42,22,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,13,3,0,10,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,11,0,0,0,0,1,4,9,20,0,0,0,12,3,2,10,0,18,2,9,18,0,0,0,5,0,0,0,0,1802
2017-05,13,20,0,0,0,0,0,0,0,0,0,0,0,0,9,36,0,0,0,20,1,0,11,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,8,0,0,0,0,0,1,7,21,0,0,0,5,0,5,5,0,15,3,7,5,0,0,0,3,0,0,0,0,2011
2017-06,7,15,0,0,0,0,0,0,0,0,0,0,1,0,6,14,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,12,0,0,1,4,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0,0,0,0,10,0,0,0,2,0,0,0,0,4,1,1,0,0,0,0,2,0,0,0,0,2270
2017-08,16,10,0,0,0,2,0,0,0,0,0,0,0,0,5,15,0,0,0,3,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,0,0,0,0,1,14,0,0,0,18,0,5,0,0,3,0,1,5,0,0,0,2,0,0,0,0,2577
2017-11,58,35,0,0,0,2,0,0,0,0,0,0,0,0,10,57,0,0,0,8,11,0,20,0,0,0,0,0,0,0,3,4,0,1,1,5,0,0,0,0,0,0,0,0,0,25,0,0,27,0,0,0,0,0,0,22,24,0,0,0,9,6,9,7,0,14,9,8,11,2,0,0,2,0,0,0,0,3059
2017-12,17,40,0,0,0,0,0,0,0,0,0,0,0,0,29,36,0,0,0,4,1,0,14,0,0,0,0,0,0,0,0,3,0,0,1,4,0,0,0,0,0,0,0,0,0,18,0,0,10,0,0,0,0,0,2,14,32,0,0,0,11,2,8,6,0,10,4,3,10,0,0,0,3,0,0,0,0,2965
2018-01,29,42,0,0,0,0,0,0,0,0,0,0,0,0,8,90,0,0,0,7,6,0,17,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,27,0,0,21,0,0,0,0,1,0,13,36,0,0,0,12,9,0,9,0,5,1,2,8,0,0,0,6,0,0,0,0,1621
2018-02,50,65,0,0,0,1,0,0,0,0,0,0,0,0,11,92,0,0,0,16,5,0,17,0,0,1,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,36,0,0,27,0,0,0,0,5,2,3,49,0,0,0,22,12,2,1,0,10,5,2,7,0,0,0,6,0,0,0,0,1259
2018-03,20,99,0,0,0,1,0,0,0,0,0,0,1,0,24,81,0,0,0,5,0,0,12,0,0,2,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,48,0,0,17,0,0,0,0,2,0,14,46,0,0,0,18,11,7,11,0,23,8,5,17,0,0,0,5,0,0,0,0,1450
2018-04,16,27,0,0,0,0,0,0,0,0,0,0,0,0,4,24,0,0,0,8,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14,0,0,10,0,0,0,0,0,0,10,20,0,0,0,2,0,3,2,0,1,1,0,7,0,0,0,3,0,0,0,0,1621
2018-05,43,21,0,0,0,0,0,0,0,0,0,0,2,0,16,45,0,0,0,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12,0,0,4,0,0,0,0,0,0,2,10,0,0,0,19,0,0,3,0,4,0,1,17,0,0,0,3,0,0,0,0,1909
2018-06,52,30,0,0,0,0,0,0,0,0,0,0,1,0,6,42,0,0,0,6,3,0,12,0,0,0,0,0,0,0,1,5,0,0,0,8,0,0,0,0,0,0,0,0,0,18,0,0,12,0,0,0,0,0,0,10,30,0,0,0,1,2,3,7,0,12,3,0,10,0,0,0,8,0,0,0,0,2161
2018-07,19,16,0,0,0,0,0,0,0,0,0,0,1,0,4,24,0,0,0,5,1,0,6,0,0,2,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,15,0,0,0,0,0,0,0,4,0,0,0,5,1,7,3,0,12,4,1,20,0,0,0,4,0,0,0,0,2285
2018-08,46,17,0,0,0,0,0,0,0,0,0,0,0,0,1,46,0,0,0,9,3,0,11,0,0,0,0,0,0,0,1,2,0,0,2,2,0,0,0,0,0,0,0,0,0,17,0,0,7,0,0,0,0,1,2,4,28,0,0,0,1,6,9,1,0,10,5,1,19,0,0,0,5,0,0,0,0,2415
2018-09,46,21,0,0,0,0,0,0,0,0,0,0,0,0,3,32,0,0,0,3,1,0,14,0,0,1,0,0,0,0,0,2,0,0,1,5,0,0,0,0,0,0,0,0,0,16,0,0,9,0,0,0,0,2,0,1,17,0,0,0,1,2,10,3,0,16,9,0,23,0,0,0,14,0,0,0,0,2626
2018-11,35,18,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,0,0,8,0,0,17,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,12,0,0,5,0,0,0,0,2,0,4,23,0,0,0,1,2,10,1,0,11,3,5,24,0,0,0,1,0,0,0,0,2886
2018-12,33,11,0,0,0,0,0,0,0,0,0,0,3,0,11,12,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10,0,0,7,0,0,0,0,2,0,0,6,0,0,0,4,4,2,0,0,0,0,2,8,0,0,0,2,0,0,0,0,2841
2019-01,36,20,0,0,0,0,0,0,0,0,0,0,2,0,0,31,0,0,0,6,0,0,25,0,0,0,0,0,0,0,1,3,0,0,0,7,0,0,0,0,0,0,0,0,0,18,0,0,1,0,0,0,0,2,0,2,32,0,0,0,2,4,24,9,0,14,10,4,29,1,0,1,2,0,0,0,0,1029
2019-02,46,38,1,0,0,0,0,0,0,0,0,0,0,0,4,41,0,0,0,3,3,0,32,0,0,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,33,0,0,11,0,0,0,0,4,0,3,19,0,0,0,6,3,9,19,0,31,10,3,46,0,0,1,7,0,0,0,0,1256
2019-03,39,35,0,0,0,0,0,0,0,0,0,0,0,0,1,24,0,0,0,1,0,0,16,0,0,1,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,17,0,0,11,0,0,0,0,1,0,6,29,0,0,0,0,2,5,2,2,11,7,3,25,1,0,0,5,0,0,0,0,1583
2019-04,21,16,2,0,0,0,0,0,0,0,0,0,1,0,1,33,0,0,0,4,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,15,0,0,2,0,0,0,0,2,0,2,6,0,0,0,1,2,4,9,0,5,5,2,24,0,0,0,1,0,0,0,0,1793
2019-05,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,3,2,0,13,0,0,0,0,0,0,0,0,1946
